NAME                 	CHART VERSION	APP VERSION	DESCRIPTION                                       
bitnami/postgresql   	16.7.27      	17.6.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.26      	17.6.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.24      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.21      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.20      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.19      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.18      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.17      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.16      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.15      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.14      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.13      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.12      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.11      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.10      	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.9       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.8       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.6       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.5       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.4       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.3       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.2       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.1       	17.5.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.7.0       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.7       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.6       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.5       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.4       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.3       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.2       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.1       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.6.0       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.6       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.5       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.4       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.3       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.2       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.1       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.5.0       	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.16      	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.15      	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.14      	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.13      	17.4.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.11      	17.3.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.9       	17.3.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.8       	17.3.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.7       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.6       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.5       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.4       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.3       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.2       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
bitnami/postgresql   	16.4.1       	17.2.0     	PostgreSQL (Postgres) is an open source object-...
